:ID,author:string
8981008,Grzegorz Rozenberg
8981011,Dacheng Tao
8981017,Petr Kurka
8981032,John H. Reif
8981040,Xin Yao 0001
8981054,Philipp Cimiano
8981061,Tong Zhang
8981084,Jerry R. Hobbs
8981093,Kashif Kifayat
8981100,Yan Zhang 0002
8981105,Ping Wang
8981149,Dimitrios D. Vergados
8981159,Aleksei V. Chechkin
8981199,Gerald M. Edelman
8981240,Tetsuya Asai
8981251,Seth Lloyd
8981326,Clarence W. de Silva
8981378,Bart De Schutter
8981430,Garry Robins
8981481,Will N. Browne
8981485,Thomas W. Valente
8981486,Rainer Hegselmann
8981504,Warren E. Dixon
8981546,Robert Ivor John
8981611,Viv Kendon
8981623,Sofia C. Olhede
8981637,Philippa Pattison
8981655,Olivier Gossner
8981714,Ming Zhao
8981716,Bing-Hong Wang
8981733,Arkady M. Satanin
8981889,Lemont B. Kier
8981893,Fan R. K. Chung
8981922,Michael R. Lyu
8981928,Eytan Adar
8981945,Adam Wierzbicki
8981963,Martin G. Everett
8981982,Jana Diesner
8981988,Volker Tresp
8982013,Athena Vakali
8982070,Aylin Yener
8982077,Heinz Ulrich Hoppe
8982103,Tianbao Yang
8982109,Radhia Toujani
8982110,Jalel Akaichi
8982112,William A. Wallace
8982140,Henning Meyerhenke
8982143,Jun Wang
8982154,Chen Lu
8982189,Michael R. Evans
8982205,Ingo Weber
8982253,Tobias Hecking
8982269,Liaquat Hossain
8982270,Preslav Nakov
8982279,Soujanya Poria
8982293,Evangelos E. Papalexakis
8982327,Erjia Yan
8982334,Matteo Matteucci
8982378,Juho Hamari
8982380,Huzefa Rangwala
8982405,Bin Cui 0001
8982417,Gautam Srivastava
8982427,Han Woo Park
8982479,Philip A. Bernstein
8982484,Richard T. Snodgrass
8982488,Ippokratis Pandis
8982494,Alexandra Poulovassilis
8982505,Roberto A. Rocha
8982526,Juliana Freire
8982537,Jingren Zhou
8982549,Giuseppe Castagna
8982563,Ioana Manolescu
8982564,Yannis Papakonstantinou
8982565,Vasilis Vassalos
8982586,Mor Peleg
8982614,Krisztian Balog
8982628,Il-Yeol Song
8982647,Victor Vianu
8982650,Chen Li
8982679,Shawn N. Murphy
8982685,Himanshu Gupta
8982693,Michael Weiner
8982696,Leopoldo E. Bertossi
8982700,Edleno Silva de Moura
8982786,Alan D. Fekete
8982829,Gail-Joon Ahn
8982852,Farnoush Banaei Kashani
8982857,Alan J. Demers
8982863,Boon Thau Loo
8982877,Divesh Srivastava
8982881,Bolin Ding
8982895,Zhen Zhang
8982903,Yang Yang 0002
8982918,Phillip Lord
8982925,Dongwon Lee 0001
8982932,Hai Jin 0001
8982960,Luciano Baresi
8982966,Carlo Combi
8982967,Yun Yang
8982993,Rui Zhang
8982997,Jayant Sharma
8983012,Le Gruenwald
8983058,Deepak S. Turaga
8983083,Jun Huan
8983086,Meihui Zhang 0001
8983108,Colin Atkinson 0001
8983114,James Bailey 0001
8983131,Yanli Cai
8983161,Zhicheng Dou
8983173,Yong Yao
8983201,Ryan Johnson 0001
8983203,Kevin Chen-Chuan Chang
8983244,Wolfgang Lehner
8983255,Ping Li
8983264,James Cheney
8983284,Juhani Karhumäki
8983293,Jürgen Dassow
