article:ID,author:string[],author-aux:string,author-orcid:string[],booktitle:string,cdate:date,cdrom:string,cite:string[],cite-label:string[],crossref:string,editor:string[],editor-orcid:string[],ee:string[],ee-type:string[],i:string[],journal:string,key:string,mdate:date,month:string,note:string[],note-label:string,note-type:string[],number:string,pages:string,publisher:string,publnr:string,publtype:string,sub:string[],sup:string[],title:string[],title-bibtex:string,tt:string[],url:string,volume:string,year:int,abstract:string[]
44826,Changcheng Huang|James Yan|Yang Hong 0005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1177/0037549712443920,NA,NA,Simul.,journals/simulation/HongHY12,2021-01-14,NA,NA,NA,NA,11,1294-1315,NA,NA,NA,NA,NA,Modeling and design of a Session Initiation Protocol overload control algorithm.,NA,NA,db/journals/simulation/simulation88.html#HongHY12,88,2012,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
556220,Asad Waqar Malik|Gao Shu|Hammad Ur-Rehman Qaiser,NA,0000-0002-1100-6139|0000-0002-7991-5267|0000-0003-3804-997X,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1109/ACCESS.2019.2962272,oa,NA,IEEE Access,journals/access/QaiserSM20,2020-02-06,NA,NA,NA,NA,NA,1998-2007,NA,NA,NA,NA,NA,Utilization Driven Model for Server Consolidation in Cloud Data Centers.,NA,NA,db/journals/access/access8.html#QaiserSM20,8,2020,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1945596,Benjamin A. Burton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://arxiv.org/abs/math/0604584,oa,NA,CoRR,journals/corr/Burton06,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,informal,NA,NA,Enumeration of non-orientable 3-manifolds using face pairing graphs and union-find.,NA,NA,db/journals/corr/corr0604.html#Burton06,abs/math/0604584,2006,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1069123,Gurpreet Singh|Mary F. Wheeler,NA,0000-0001-5571-9299,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/j.jcp.2018.08.013,NA,NA,J. Comput. Phys.,journals/jcphy/SinghW18,2020-02-19,NA,NA,NA,NA,NA,893-911,NA,NA,NA,NA,NA,A space-time domain decomposition approach using enhanced velocity mixed finite element method.,NA,NA,db/journals/jcphy/jcphy374.html#SinghW18,374,2018,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1045378,Bárbara de Benito Crosetti|Jesús Salinas Ibáñez|Victoria Marín Juarros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1080/10494820.2013.788031|https://www.wikidata.org/entity/Q58077097,NA,NA,Interact. Learn. Environ.,journals/ile/JuarrosIC14,2020-09-29,NA,NA,NA,NA,2,205-220,NA,NA,NA,NA,NA,Research results of two personal learning environments experiments in a higher education institution.,NA,NA,db/journals/ile/ile22.html#JuarrosIC14,22,2014,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2469344,Haowen Wang|Jiangbo Huang|Wei Fu|Zhihong Fu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.3390/s19163563|https://www.wikidata.org/entity/Q92824506,oa,NA,Sensors,journals/sensors/HuangWFF19,2020-05-30,NA,NA,NA,NA,16,3563,NA,NA,NA,NA,NA,Modeling and Solution of Signal Oscillation Mechanism of the Multi-Coil Sensor.,NA,NA,db/journals/sensors/sensors19.html#HuangWFF19,19,2019,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2568370,Toshiki Moriguchi|Tsuneo Yoshikawa|Xin-Zhi Zheng,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1177/027836499701600501,NA,NA,Int. J. Robotics Res.,journals/ijrr/YoshikawaZM97,2020-09-17,NA,NA,NA,NA,5,589-600,NA,NA,NA,NA,NA,Display of the Operating Feel of Dynamic Virtual Objects with Frictional Surfaces.,NA,NA,db/journals/ijrr/ijrr16.html#YoshikawaZM97,16,1997,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1763673,Alberto Pepe|Alyssa Goodman|August Muench,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://arxiv.org/abs/1111.3983,oa,NA,CoRR,journals/corr/abs-1111-3983,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,informal,NA,NA,The ADS All-Sky Survey,NA,NA,db/journals/corr/corr1111.html#abs-1111-3983,abs/1111.3983,2011,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
405834,Colm G. Connolly|Duan Xu|Eva Henje Blom|Justin P. Yuan|Olga Tymofiyeva|Rebecca A. Dumont Walter|Tiffany C. Ho|Tony T. Yang|Trevor Flynn|Yiran Chen,NA,0000-0003-0550-4235,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1089/brain.2018.0580|https://www.wikidata.org/entity/Q58605859,NA,NA,Brain Connect.,journals/brain/YuanBFCHCWYXT19,2020-09-05,NA,NA,NA,NA,2,144-154,NA,NA,NA,NA,NA,Test-Retest Reliability of Graph Theoretic Metrics in Adolescent Brains.,NA,NA,db/journals/brain/brain9.html#YuanBFCHCWYXT19,9,2019,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2226796,Randall Davis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/S0020-7373(83)80063-7,NA,NA,Int. J. Man Mach. Stud.,journals/ijmms/Davis83a,2020-05-15,NA,NA,NA,NA,5,403-423,NA,NA,NA,NA,NA,Reasoning from First Principles in Electronic Troubleshooting.,NA,NA,db/journals/ijmms/ijmms19.html#Davis83a,19,1983,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
